"Cortas de madera según especie. Concejos"

"Ámbito territorial";"TOTAL 2006";"TOTAL 2007";"TOTAL 2008";"TOTAL 2009";"TOTAL 2010";"TOTAL 2011";"TOTAL 2012";"TOTAL 2013";"TOTAL 2014";"TOTAL 2015";"TOTAL 2016";"TOTAL 2017";"TOTAL 2018";"Castaño 2006";"Castaño 2007";"Castaño 2008";"Castaño 2009";"Castaño 2010";"Castaño 2011";"Castaño 2012";"Castaño 2013";"Castaño 2014";"Castaño 2015";"Castaño 2016";"Castaño 2017";"Castaño 2018";"Eucalipto 2006";"Eucalipto 2007";"Eucalipto 2008";"Eucalipto 2009";"Eucalipto 2010";"Eucalipto 2011";"Eucalipto 2012";"Eucalipto 2013";"Eucalipto 2014";"Eucalipto 2015";"Eucalipto 2016";"Eucalipto 2017";"Eucalipto 2018";"Pino pinaster 2006";"Pino pinaster 2007";"Pino pinaster 2008";"Pino pinaster 2009";"Pino pinaster 2010";"Pino pinaster 2011";"Pino pinaster 2012";"Pino pinaster 2013";"Pino pinaster 2014";"Pino pinaster 2015";"Pino pinaster 2016";"Pino pinaster 2017";"Pino pinaster 2018";"Pino radiata 2006";"Pino radiata 2007";"Pino radiata 2008";"Pino radiata 2009";"Pino radiata 2010";"Pino radiata 2011";"Pino radiata 2012";"Pino radiata 2013";"Pino radiata 2014";"Pino radiata 2015";"Pino radiata 2016";"Pino radiata 2017";"Pino radiata 2018";"Pino silvestre 2006";"Pino silvestre 2007";"Pino silvestre 2008";"Pino silvestre 2009";"Pino silvestre 2010";"Pino silvestre 2011";"Pino silvestre 2012";"Pino silvestre 2013";"Pino silvestre 2014";"Pino silvestre 2015";"Pino silvestre 2016";"Pino silvestre 2017";"Pino silvestre 2018";"Quercíneas 2006";"Quercíneas 2007";"Quercíneas 2008";"Quercíneas 2009";"Quercíneas 2010";"Quercíneas 2011";"Quercíneas 2012";"Quercíneas 2013";"Quercíneas 2014";"Quercíneas 2015";"Quercíneas 2016";"Quercíneas 2017";"Quercíneas 2018";"Otras especies 2006";"Otras especies 2007";"Otras especies 2008";"Otras especies 2009";"Otras especies 2010";"Otras especies 2011";"Otras especies 2012";"Otras especies 2013";"Otras especies 2014";"Otras especies 2015";"Otras especies 2016";"Otras especies 2017";"Otras especies 2018"
"33020 Corvera de Asturias";10961;8160;11779;5240;16038;10155;12932;12551;13618;43652;11834;13185;33731;73;49;28;16;37;0;24;52;67;8;0;12;7;10878;7975;11696;5079;15983;10155;12868;12068;13308;43334;11745;13145;33596;10;104;53;129;4;0;23;418;197;176;0;19;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;16;4;9;2;0;32;2;16;14;0;17;13;46;118;85;0;4
"33021 Cudillero";21703;39319;26097;20035;19955;21025;14401;29143;41487;23149;16875;23290;26662;412;518;328;118;301;150;131;92;178;209;105;56;19;16989;30579;21063;19490;17863;16757;13562;26434;33625;16484;15140;17145;21753;2989;6102;4474;366;1687;2988;694;2542;7305;5867;1415;5470;4545;1068;1448;132;4;0;1092;0;69;255;166;61;588;308;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;17;0;29;0;245;672;100;57;105;38;14;6;124;406;154;2;37
"33022 Degaña";0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"33023 Franco, El";18598;8406;459;14139;3598;15426;9508;4853;37183;15144;117322;76387;66515;829;238;53;255;77;392;14;137;598;232;977;1210;406;5451;2656;17;7261;2093;12668;4684;3331;16497;8245;57878;53137;32268;10801;4341;0;5290;845;1205;1204;1259;14991;5374;39776;19228;10360;1094;530;30;532;519;1062;3568;103;3290;944;16466;2451;23246;0;0;0;209;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;18;173;127;45;423;641;359;592;64;99;38;23;1807;331;2052;234;190
"33024 Gijón";25945;28174;30567;15209;45614;23162;32854;29034;14560;29116;44751;14562;29634;67;110;25;20;57;81;133;70;72;488;155;130;65;21462;27970;30397;15055;45180;23014;32642;28787;14305;28150;43944;14195;28799;91;25;72;84;280;24;19;84;31;34;35;90;74;4198;10;0;7;0;4;0;10;55;4;19;58;368;0;0;0;8;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;102;85;64;48;127;59;73;35;97;39;60;83;97;338;513;25;280
"33025 Gozón";17041;27231;23391;13017;19899;25131;23238;28017;25015;49466;27655;28151;26400;65;92;13;4;29;0;9;2;12;26;2;2;7;16538;26980;23261;12890;19800;25036;23028;27863;24831;48742;27012;28105;25298;323;106;38;117;70;26;158;42;141;520;603;40;289;0;0;21;0;0;69;0;0;0;0;4;0;578;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;12;0;1;8;115;53;58;6;0;0;43;110;31;166;34;3;220
"33026 Grado";8864;2497;2392;950;1443;4885;4631;4898;3352;2501;2963;3039;4546;2609;588;287;91;91;450;363;486;656;822;442;328;410;5376;1624;1900;762;1300;3227;3960;3433;2000;1189;2162;2497;3054;133;90;103;16;0;156;101;537;374;115;37;96;424;217;42;47;50;49;816;43;0;1;0;0;38;500;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;317;241;60;154;529;153;55;31;3;236;164;442;321;58;81;20;4
"33027 Grandas de Salime";15455;13979;1980;997;3432;5487;8264;12630;2541;6539;3170;4367;2767;0;0;18;89;179;34;0;0;0;71;6;0;0;0;0;0;0;0;0;0;0;0;0;207;9;0;0;3051;47;192;21;5004;3682;0;0;4485;0;0;232;3621;3357;53;130;0;67;4582;9182;509;1811;2935;4357;2500;11834;7560;1320;1;3208;0;0;3448;1997;0;0;0;0;..;..;..;..;..;..;..;..;..;165;6;1;0;0;11;542;585;24;382;0;0;35;7;16;0;35
"33028 Ibias";2448;2435;3358;3702;0;6707;4360;779;2276;6218;4684;446;816;31;100;72;276;0;49;3;0;11;0;35;66;0;0;0;0;6;0;7;0;0;0;249;325;0;0;0;878;3080;3151;0;3334;1828;779;0;2190;165;120;0;0;1404;0;64;0;1500;727;0;367;1506;4159;260;0;2415;53;200;200;0;1802;1802;0;1894;2215;0;0;760;..;..;..;..;..;..;..;..;..;0;0;0;0;2;0;6;5;0;15;0;0;4;58;0;0;56
"33029 Illano";2480;1578;1578;1672;257;1145;1028;105;2619;2412;4905;3682;6886;0;0;0;50;53;0;107;67;26;18;295;0;0;0;0;0;0;87;290;401;37;144;75;83;550;1192;0;75;75;75;23;119;219;0;0;0;68;115;336;0;1503;1385;1503;47;152;212;0;2411;2017;4456;3017;5278;2480;0;0;0;0;0;0;0;0;0;0;0;80;..;..;..;..;..;..;..;..;..;3;0;0;0;0;0;118;44;47;584;89;1;38;299;3;0;0
