"Cortas de madera según titularidad del monte. Concejos"

"Ámbito territorial";"TOTAL 2000";"TOTAL 2001";"TOTAL 2006";"TOTAL 2007";"TOTAL 2009";"TOTAL 2010";"TOTAL 2011";"TOTAL 2012";"TOTAL 2013";"TOTAL 2014";"TOTAL 2015";"TOTAL 2016";"TOTAL 2017";"TOTAL 2018";"Montes de particulares 2000";"Montes de particulares 2001";"Montes de particulares 2006";"Montes de particulares 2007";"Montes de particulares 2009";"Montes de particulares 2010";"Montes de particulares 2011";"Montes de particulares 2012";"Montes de particulares 2013";"Montes de particulares 2014";"Montes de particulares 2015";"Montes de particulares 2016";"Montes de particulares 2017";"Montes de particulares 2018";"Montes de utilidad pública 2000";"Montes de utilidad pública 2001";"Montes de utilidad pública 2006";"Montes de utilidad pública 2007";"Montes de utilidad pública 2009";"Montes de utilidad pública 2010";"Montes de utilidad pública 2011";"Montes de utilidad pública 2012";"Montes de utilidad pública 2013";"Montes de utilidad pública 2014";"Montes de utilidad pública 2015";"Montes de utilidad pública 2016";"Montes de utilidad pública 2017";"Montes de utilidad pública 2018";"Montes consorciados o en convenio 2000";"Montes consorciados o en convenio 2001";"Montes consorciados o en convenio 2006";"Montes consorciados o en convenio 2007";"Montes consorciados o en convenio 2009";"Montes consorciados o en convenio 2010";"Montes consorciados o en convenio 2011";"Montes consorciados o en convenio 2012";"Montes consorciados o en convenio 2013";"Montes consorciados o en convenio 2014";"Montes consorciados o en convenio 2015";"Montes consorciados o en convenio 2016";"Montes consorciados o en convenio 2017";"Montes consorciados o en convenio 2018"
"33027 Grandas de Salime";1697;1668;15455;13979;997;3432;5487;8264;12631;2541;6539;3170;4367;2767;761;728;0;11;787;224;487;577;0;524;683;3170;4367;1445;0;0;0;0;0;3208;5000;1745;0;0;0;0;0;0;936;940;15455;13968;210;0;0;5942;12631;2017;5856;0;0;1322
"33028 Ibias";1023;1988;2448;2435;3702;0;6707;4360;779;2276;6218;4684;446;816;829;1988;33;398;422;0;1526;1829;0;382;1816;3319;446;816;0;0;0;0;0;0;2650;2531;0;0;0;0;0;0;194;0;2415;2037;3280;0;2531;0;779;1894;4402;1365;0;0
"33029 Illano";4573;2605;2480;1578;1672;257;1145;1028;104;2619;2412;4905;3682;6886;4573;2605;0;0;94;210;1145;1028;104;2619;2412;4905;3682;6886;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;2480;1578;1578;0;0;0;0;0;0;0;0;0
"33030 Illas";6240;11852;9977;6642;6313;4042;3349;5017;10697;2795;10473;11666;15495;16279;6240;11852;9977;6642;6313;4042;3349;5017;10697;2795;10473;11666;15495;16279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33031 Langreo";2321;1396;1976;1035;1035;184;645;1803;533;724;744;425;838;70;2321;1396;1976;1035;1035;184;645;1803;533;724;744;425;838;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33032 Laviana";3639;4395;569;604;341;244;299;176;387;209;293;136;154;11;3639;4395;569;604;341;244;299;176;387;209;293;136;154;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33033 Lena";6496;5886;4539;3652;1584;626;1450;2715;477;592;1585;10;835;175;6496;5886;4539;3652;1584;626;1450;2715;477;592;1585;10;835;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33034 Valdés";34777;60246;41960;60550;50818;39584;49098;27191;72752;52833;62493;53511;73731;78034;33568;58685;40579;59889;49513;38302;45219;21952;70314;51666;60154;51806;67629;68743;866;1561;927;270;914;0;300;3579;1075;1167;2339;357;899;1197;343;0;454;391;391;1282;3579;1660;1362;0;0;1348;5203;8094
"33035 Llanera";44016;27087;11487;8911;10183;31671;16866;10091;12824;34986;14328;10257;10123;5572;44016;27087;11487;8911;10183;31671;16866;9087;12824;34986;14328;10257;10123;5572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1004;0;0;0;0;0;0
"33036 Llanes";13019;15452;13233;7433;26573;13132;45668;37710;13699;10937;20998;20394;18526;23748;11074;15452;799;1507;18476;13132;12719;11564;11349;10419;16967;14252;16512;23188;0;0;0;0;0;0;13000;21274;0;0;0;0;2014;0;1945;0;12434;5926;8097;0;19949;4872;2350;518;4031;6142;0;560
